Species,Family,CH,LDMC,FS,FP,LS,LDW,SLA,LA,PN,RD,LNC,LCC,LFW
Paeonia anomala,Paeoniaceae,874,16.9,4,2,3,850.71,28,23820,5.06,0.55,24,459,5033.81
Pedicularis verticillata,Scrophulariaceae,109,20.5,4,2,2,6.86,21,144,12.05,2.44,28.7,421,33.45
Persicaria vivipara,Polygonaceae,283,21.6,5,2,3,14.14,22,311,7.54,1.21,21.5,441,65.45
Plantago major,Plantaginaceae,161,18.5,3,2,2,154.28,29,4474,14,2.038551745,21.4,406,833.92
Pyrola rotundifolia,Ericaceae,142,30.6,4,2,3,75.89,18,1366,5.09,0.57,15.8,482,248.00
Ranunculus japonicus var. propinquus,Ranunculaceae,198,19.1,4,1,2,27.97,30,839,15.67,1.88,32.8,429,146.42
Ranunculus repens,Ranunculaceae,409,16.5,4,1,6,84.87,38,3225,23.6,2.68,27.7,419,514.35
Rubus chamaemorus,Rosaceae,131,31,4,2,6,163.44,18,2942,10,1.36,28.7,459,527.24
Salix reticulata,Salicaceae,25,33.7,3,2,5,99.20,10,992,1,1.19,28.6,477,294.36
Sanguisorba officinalis,Rosaceae,292,26.9,4,2,3,198.25,20,3965,3.48,1.29,31.5,445,736.99
Scorzoneroides autumnalis,Compositae,300,17.9,5,5,3,39.71,28,1112,19,2.6,19,421,221.87
Stellaria media,Caryophyllaceae,314,10.8,3,4,5,8.96,56,502,45,3.1,23,393,83.00
Taraxacum campylodes,Compositae,376,16.8,3,2,3,412.54,28,11551,20.06,1.37,19.9,408,2455.57
Trifolium repens,Fabaceae,263,23.2,3,3,4,25.71,31,797,15.9,2.61,38.8,439,110.82
Tripleurospermum inodorum,Compositae,576,18.3,4,4,2,39.00,20,780,23,2.4,16.5,418,213.11
Trollius europaeus,Ranunculaceae,424,15.9,3,3,2,173.34,35,6067,19.53,1.97,36.2,404,1090.21
Urtica dioica,Urticaceae,1051,26.3,4,2,5,163.24,33,5387,13.39,1.9,35,398,620.69
Vaccinium vitis-idaea,Ericaceae,146,41.9,3,2,6,21.88,8,175,1.4,1.05,12.5,502,52.21
Valeriana wolgensis,Valerianaceae,627,12.5,4,2,3,119.71,35,4190,15.38,2.24,35.8,436,957.71
Veronica longifolia,Scrophulariaceae,567,26.3,3,4,5,51.59,27,1393,15.91,1.91,36.2,455,196.17
